Year,Period,Area,Population Source,Population
"2007","Annual","Sierra County","California Dept of Finance","3,395"
"1995","Annual","Sierra County","California Dept of Finance","3,527"
"2022","Annual","Siskiyou County","California Dept of Finance","43,307"
"2018","Annual","Siskiyou County","California Dept of Finance","44,305"
"2007","Annual","Siskiyou County","California Dept of Finance","45,671"
"1995","Annual","Siskiyou County","California Dept of Finance","45,020"
"2022","Annual","Solano County","California Dept of Finance","447,012"
"2018","Annual","Solano County","California Dept of Finance","449,091"
"2007","Annual","Solano County","California Dept of Finance","423,807"
"1995","Annual","Solano County","California Dept of Finance","368,042"
"2022","Annual","Sonoma County","California Dept of Finance","481,297"
"2018","Annual","Sonoma County","California Dept of Finance","496,869"
"2007","Annual","Sonoma County","California Dept of Finance","480,656"
"1995","Annual","Sonoma County","California Dept of Finance","421,674"
"2022","Annual","Stanislaus County","California Dept of Finance","547,905"
"2018","Annual","Stanislaus County","California Dept of Finance","549,544"
"2007","Annual","Stanislaus County","California Dept of Finance","520,506"
"1995","Annual","Stanislaus County","California Dept of Finance","413,016"
"2022","Annual","Sutter County","California Dept of Finance","98,641"
"2018","Annual","Sutter County","California Dept of Finance","99,334"
"2007","Annual","Sutter County","California Dept of Finance","94,811"
"1995","Annual","Sutter County","California Dept of Finance","73,549"
"2022","Annual","Tehama County","California Dept of Finance","64,993"
"2018","Annual","Tehama County","California Dept of Finance","64,568"
"2007","Annual","Tehama County","California Dept of Finance","61,848"
"1995","Annual","Tehama County","California Dept of Finance","54,199"
"2022","Annual","Trinity County","California Dept of Finance","15,927"
"2018","Annual","Trinity County","California Dept of Finance","15,754"
"2007","Annual","Trinity County","California Dept of Finance","13,887"
"1995","Annual","Trinity County","California Dept of Finance","13,507"
"2022","Annual","Tulare County","California Dept of Finance","474,861"
"2018","Annual","Tulare County","California Dept of Finance","467,656"
"2007","Annual","Tulare County","California Dept of Finance","429,202"
"1995","Annual","Tulare County","California Dept of Finance","347,539"
"2022","Annual","Tuolumne County","California Dept of Finance","53,409"
"2018","Annual","Tuolumne County","California Dept of Finance","55,311"
"2007","Annual","Tuolumne County","California Dept of Finance","56,559"
"1995","Annual","Tuolumne County","California Dept of Finance","52,400"
"2022","Annual","Ventura County","California Dept of Finance","830,434"
"2018","Annual","Ventura County","California Dept of Finance","849,523"
"2007","Annual","Ventura County","California Dept of Finance","823,538"
"1995","Annual","Ventura County","California Dept of Finance","702,830"
"2022","Annual","Yolo County","California Dept of Finance","221,342"
"2018","Annual","Yolo County","California Dept of Finance","216,474"
"2007","Annual","Yolo County","California Dept of Finance","196,954"
"1995","Annual","Yolo County","California Dept of Finance","152,924"
"2022","Annual","Yuba County","California Dept of Finance","82,667"
"2018","Annual","Yuba County","California Dept of Finance","79,043"
"2007","Annual","Yuba County","California Dept of Finance","71,171"
"1995","Annual","Yuba County","California Dept of Finance","61,927"
